description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Test	0			100					1	vps							mfe																																																																																							0
Test	0			100					2	vps,qty=2							mfc																																																																																							0
Test	0			100					2	tsc,qty=2							Natalya's Mark	99		99																																																																																				0
Test	0			100					3	tsc,qty=3							Natalya's Shadow	99		99																																																																																				0
Test	0			100					4	tsc,qty=4							Natalya's Soul	99		99																																																																																				0
Test	0			100					5	tsc,qty=5								99		99																																																																																				0
Test	0			100					6	tsc,qty=6								99		99																																																																																				0
Dye Test	0			100					2	armo	vps						useitem																																																																																							0
Dye Test	0			100					2	weap	vps						useitem																																																																																							0
Test	0			100	28				1	tsc							Pandemonium Portal																																																																																							0
Test	0			100	28				2	tsc,qty=2							Red Portal,qty=132																																																																																							0
Test	0			100	28				3	tsc,qty=3							Red Portal,qty=135																																																																																							0
Test	0			100					3	vps,qty=3							cm1,mag	99		99																																																																																				0
Test	0			100					4	vps,qty=4							cm1,mag	99		99	allskills			99	99	cast2			200	200	res-all			500	500	move2			500	500	cheap			1000	1000																																																											0
Test	0			100					2	aqv	vps						useitem				rep-quant		63																							std																													std																													0
Teleport + MF + GF	0			100					2	weap	vps						useitem				red-dmg%			-200	-200	ignore-ac			1	1														1	1																																																											0
Staff of Kings + Amulet of the Viper -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim's Flail + Khalim's Heart + Khalim's Eye + Khalim's Brain -> Khalim's Will	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
Wirt's Leg + Tome of Town Portal -> Portal to The Secret Cow Level	1			0	28				1	leg							Cow Portal																													leg																																																										0
3 Healing Potions (Any) + 3 Mana Potions (Any) + 1 Standard Gem (Any) -> Full Rejuvenation Potion	1			0					7	hpot,qty=3	mpot,qty=3	ggm2					rvl																																																																																							0
3 Healing Potions (Any) + 3 Mana Potions (Any)  + 1 Chipped Gem (Any) -> Rejuvenation Potion	1			0					7	hpot,qty=3	mpot,qty=3	ggm0					rvs																																																																																							0
3 Rejuvenation Potions -> Full Rejuvenation Potion	1			0					3	rvs,qty=3							rvl																																																																																							0
6 Perfect Gems (1 of each type) + 1 Magic Amulet -> Prismatic Amulet	1			0					7	amu,mag	gg4a	gg4t	gg4s	gg4e	gg4r	gg4d	amu,mag,pre=331	50																																																																																						0
1 Magic Ring + 1 Perfect Ruby + 1 Exploding Potion -> Garnet Ring	1			0					3	rin,mag	gg4r	opm					rin,mag,pre=372	30																																																																																						0
1 Magic Ring + 1 Perfect Sapphire + 1 Thawing Potion -> Cobalt Ring	1			0					3	rin,mag	gg4s	wms					rin,mag,pre=353	30																																																																																						0
